Accumulated Samples,Performance,Estimated Performance,Average Distance,Lower Bound,Upper Bound,Episode,Estimated Optimistic Performance,Optimistic Performance
0,0.00502173,0.00502173,0.42660816,0.88,0.88,0.0,1.0,0.53090687
242,0.00502173,0.00502173,0.42224935,0.88,0.88,5.0,1.0,0.53090687
1008,0.16097209,0.01791735,0.37877064,0.88,0.88,25.0,1.0,0.62771629
2480,0.34099846,0.06874414,0.34781947,0.88,0.88,70.0,1.0,0.58544815
2709,0.34099846,0.08085434,0.34506981,0.88,0.88,75.0,1.0,0.53090687
2987,0.43222935,0.08442909,0.34068153,0.88,0.88,82.0,1.0,0.53848341
6797,0.51076557,0.19926768,0.31491188,0.88,0.88,181.0,1.0,0.64991352
7208,0.57000515,0.22442211,0.31416743,0.88,0.88,193.0,1.0,0.64991352
7432,0.57000515,0.22442211,0.308783,0.88,0.88,198.0,1.0,0.64991352
8279,0.57000515,0.22442211,0.29321976,0.88,0.88,217.0,1.0,0.64991352
9191,0.57000515,0.22442211,0.2862632,0.88,0.88,235.0,1.0,0.64991352
11394,0.57000515,0.22442211,0.27752708,0.88,0.88,286.0,1.0,0.56265234
25739,0.60331052,0.28823495,0.25793268,0.88,0.88,595.0,0.99917493,0.53565907
25893,0.60331052,0.29443485,0.25775171,0.88,0.88,600.0,0.99917493,0.53565907
26286,0.60331052,0.29443485,0.24616336,0.88,0.88,609.0,0.99774363,0.55606651
28278,0.60331052,0.29443485,0.20185312,0.88,0.88,657.0,0.99578079,0.62692809
38637,0.60740263,0.35183079,0.15526833,0.88,0.88,900.0,0.99578079,0.62692809
38912,0.60740263,0.35183079,0.15523745,0.88,0.88,905.0,0.99567115,0.62692809
39555,0.60740263,0.35183079,0.15500785,0.88,0.88,921.0,0.99568511,0.62692809
40332,0.60740263,0.35183079,0.15506154,0.88,0.88,939.0,0.99488066,0.62692809
42194,0.60740263,0.35183079,0.1544328,0.88,0.88,980.0,0.99525792,0.62692809
46440,0.60740263,0.35183079,0.15456294,0.88,0.88,1080.0,0.99166014,0.62692809
69994,0.66172469,0.39603889,0.14203179,0.88,0.88,1609.0,0.98752014,0.72786744
180469,0.71058682,0.57088563,0.13036933,0.88,0.88,4106.0,0.98752014,0.75241108
180723,0.71058682,0.57088563,0.13024108,0.88,0.88,4112.0,0.98727885,0.75241108
180996,0.71058682,0.57088563,0.12563277,0.88,0.88,4117.0,0.98690226,0.75241108
181952,0.71058682,0.57088563,0.11024549,0.88,0.88,4137.0,0.98558349,0.75241108
182617,0.71058682,0.57088563,0.10729575,0.88,0.88,4150.0,0.98555024,0.75241108
185412,0.71058682,0.57088563,0.09741046,0.88,0.88,4211.0,0.9818444,0.75241108
198755,0.71058682,0.57088563,0.08612151,0.88,0.88,4492.0,0.97456244,0.75241108
251592,0.71058682,0.57088563,0.07399616,0.88,0.88,5637.0,0.95522439,0.78186577
570414,0.75483015,0.65690283,0.06364315,0.88,0.88,12407.0,0.9549237,0.78557996
570691,0.75483015,0.65650528,0.0592624,0.88,0.88,12412.0,0.9549649,0.78557996
570969,0.75483015,0.65650528,0.05367129,0.88,0.88,12417.0,0.95485457,0.78557996
571682,0.75483015,0.65650528,0.04500445,0.88,0.88,12433.0,0.95421966,0.78557996
572447,0.75483015,0.65650528,0.04188546,0.88,0.88,12451.0,0.95441708,0.78557996
575818,0.75483015,0.65650528,0.03229486,0.88,0.88,12523.0,0.95479042,0.78557996
588684,0.75483015,0.65650528,0.02619399,0.88,0.88,12799.0,0.95406937,0.78557996
663327,0.76264888,0.65781194,0.0222415,0.88,0.88,14354.0,0.93756533,0.78557996
1051317,0.785872,0.70057055,0.01504094,0.88,0.88,22427.0,0.86429694,0.78557997
3288747,0.785872,0.75175823,0.01105373,0.88,0.88,68984.0,0.84418806,0.75820515
16547177,0.785872,0.7700764,0.00925126,0.88,0.88,345299.0,0.84418806,0.75820515
18375132,0.785872,0.7700764,0.00461496,0.88,0.88,384254.0,0.79930466,0.78557997
29210034,0.785872,0.7700764,0.00281571,0.88,0.88,614525.0,0.79930466,0.78557997
47706459,0.785872,0.77596852,0.00235142,0.88,0.88,1000000.0,0.79579446,0.78557997
