Accumulated Samples,Performance,Estimated Performance,Average Distance,Lower Bound,Upper Bound,Episode,Estimated Optimistic Performance,Optimistic Performance
0,0.00502173,0.00502173,0.42660816,0.88,0.88,0.0,1.0,0.53090687
264,0.43222935,0.1103976,0.40008154,0.88,0.88,6.0,1.0,0.53090687
1008,0.60740264,0.3584105,0.37654487,0.88,0.88,25.0,1.0,0.67897608
2480,0.60740264,0.36797254,0.33159653,0.88,0.88,70.0,1.0,0.59215694
2760,0.60740263,0.36797254,0.31367612,0.88,0.88,76.0,1.0,0.70478928
3052,0.60740263,0.36797253,0.29732811,0.88,0.88,84.0,1.0,0.70478928
3331,0.60740263,0.36797254,0.29031374,0.88,0.88,91.0,1.0,0.59215694
4540,0.60740263,0.36797253,0.27131633,0.88,0.88,116.0,1.0,0.65579654
5792,0.60740263,0.36797253,0.26051634,0.88,0.88,149.0,1.0,0.56774547
6075,0.60740263,0.36797253,0.25884453,0.88,0.88,155.0,1.0,0.56774547
6273,0.60740263,0.36797253,0.25624195,0.88,0.88,161.0,0.99989822,0.65579654
6655,0.60740263,0.36797253,0.25026683,0.88,0.88,174.0,0.99186292,0.65579654
8279,0.71004122,0.37947029,0.18136088,0.88,0.88,211.0,0.99429677,0.62692809
15007,0.68187979,0.4752713,0.1455575,0.88,0.88,356.0,0.99229126,0.62692809
15328,0.6868783,0.47809684,0.14523548,0.88,0.88,362.0,0.99257745,0.62692809
16293,0.6868783,0.48802448,0.14222183,0.88,0.88,380.0,0.9919325,0.68393839
18693,0.67717144,0.50967712,0.13752003,0.88,0.88,429.0,0.98765643,0.68393839
18989,0.67717144,0.51092243,0.13589553,0.88,0.88,435.0,0.98777313,0.73730521
19726,0.67717144,0.50809448,0.13352781,0.88,0.88,451.0,0.98638182,0.73730521
19999,0.67717144,0.50774348,0.13339821,0.88,0.88,458.0,0.98557314,0.76216708
20960,0.67717144,0.50806849,0.13075122,0.88,0.88,478.0,0.98427315,0.76020476
21288,0.67717144,0.50968069,0.09797523,0.88,0.88,484.0,0.98390456,0.76020476
22463,0.67717144,0.509777,0.09289947,0.88,0.88,509.0,0.98274918,0.78186577
24798,0.67717144,0.51229621,0.08885467,0.88,0.88,557.0,0.98195063,0.78557996
25117,0.67717144,0.51269266,0.05750287,0.88,0.88,563.0,0.98176844,0.78557996
25444,0.67717144,0.51308759,0.05303051,0.88,0.88,569.0,0.9816454,0.78557996
27077,0.67717144,0.52044278,0.04998687,0.88,0.88,602.0,0.98085391,0.78557996
28188,0.67717144,0.52207497,0.04911996,0.88,0.88,625.0,0.97388546,0.78557996
38690,0.785872,0.61988164,0.04413498,0.88,0.88,843.0,0.96749176,0.72181014
95890,0.785872,0.69775982,0.03679672,0.88,0.88,2033.0,0.95557868,0.71441009
204575,0.785872,0.70573205,0.02932564,0.88,0.88,4362.0,0.93217182,0.74854047
694441,0.785872,0.70573205,0.01846744,0.88,0.88,15008.0,0.92627191,0.7621671
697874,0.785872,0.70638119,0.01700104,0.88,0.88,15079.0,0.90902005,0.7621671
861934,0.76605884,0.72190754,0.01214247,0.88,0.88,18520.0,0.85331035,0.78557997
1814965,0.76803628,0.74421597,0.00870812,0.88,0.88,38475.0,0.84065114,0.78557997
4218621,0.785872,0.77211557,0.00666854,0.88,0.88,88556.0,0.80291562,0.78557997
18879045,0.785872,0.77966232,0.00549794,0.88,0.88,394057.0,0.79425289,0.77413772
47952358,0.785872,0.78190733,0.00511606,0.88,0.88,1000000.0,0.79329707,0.77413772
