Accumulated Samples,Performance,Estimated Performance,Average Distance,Lower Bound,Upper Bound,Episode,Estimated Optimistic Performance,Optimistic Performance
0,0.16178243,1.0,0.15256713,0.06666666666666668,0.06666666666666668,0.0,1.0,0.16178243
131,0.16178243,0.99999522,0.1095912,0.06666666666666668,0.06666666666666668,6.0,0.99999522,0.16178243
649,0.16178243,0.64153339,0.05145756,0.06666666666666668,0.06666666666666668,31.0,0.64153339,0.16178243
1445,0.16178243,0.42280138,0.0375677,0.06666666666666668,0.06666666666666668,64.0,0.42280138,0.16178243
3281,0.16178243,0.32363588,0.02477065,0.06666666666666668,0.06666666666666668,148.0,0.32363588,0.16178243
5261,0.16178243,0.28496273,0.01818941,0.06666666666666668,0.06666666666666668,243.0,0.28496273,0.16178243
15622,0.16178243,0.22688858,0.01110623,0.06666666666666668,0.06666666666666668,718.0,0.22688858,0.16178243
27049,0.16178243,0.22012734,0.00950241,0.06666666666666668,0.06666666666666668,1242.0,0.22012734,0.16178243
50281,0.16178243,0.20617641,0.00682091,0.06666666666666668,0.06666666666666668,2319.0,0.20617641,0.16178243
77445,0.16178243,0.18995333,0.0046896,0.06666666666666668,0.06666666666666668,3546.0,0.18995333,0.16178243
96975,0.16178243,0.1855038,0.00422258,0.06666666666666668,0.06666666666666668,4437.0,0.1855038,0.16178243
154082,0.16178243,0.18264767,0.00374541,0.06666666666666668,0.06666666666666668,7078.0,0.18264767,0.16178243
221436,0.16178243,0.17666116,0.0030429,0.06666666666666668,0.06666666666666668,10147.0,0.17666116,0.16178243
583416,0.16178243,0.17276441,0.00197262,0.06666666666666668,0.06666666666666668,26689.0,0.17276441,0.16178243
2083672,0.16178243,0.16666369,9.0872E-4,0.06666666666666668,0.06666666666666668,95074.0,0.16666369,0.16178243
9141145,0.16178243,0.16383889,5.2099E-4,0.06666666666666668,0.06666666666666668,417178.0,0.16383889,0.16178243
21903938,0.16178243,0.16328558,3.2057E-4,0.06666666666666668,0.06666666666666668,1000000.0,0.16328558,0.16178243
