Accumulated Samples,Performance,Estimated Performance,Average Distance,Lower Bound,Upper Bound,Episode,Estimated Optimistic Performance,Optimistic Performance
0,0.03769537,0.03769537,0.42661807,0.865,0.865,0.0,1.0,0.64036412
198,0.03769537,0.03769537,0.41374792,0.865,0.865,5.0,1.0,0.64036412
697,0.22854449,0.06734129,0.37375061,0.865,0.865,21.0,1.0,0.64036412
1409,0.37285732,0.13241207,0.34744575,0.865,0.865,43.0,1.0,0.72746623
2852,0.51489269,0.20874049,0.32626378,0.865,0.865,89.0,1.0,0.76637936
3005,0.51489269,0.21873811,0.32579189,0.865,0.865,94.0,1.0,0.67770846
3211,0.62905467,0.23207996,0.32424781,0.865,0.865,101.0,1.0,0.67770846
3409,0.62905467,0.25839736,0.32235827,0.865,0.865,108.0,1.0,0.64036412
4296,0.62905467,0.27035656,0.31974614,0.865,0.865,133.0,1.0,0.76935229
14689,0.70201363,0.48320639,0.29133537,0.865,0.865,462.0,1.0,0.67166863
14857,0.70201363,0.48320639,0.28634615,0.865,0.865,467.0,1.0,0.67166863
15051,0.70201363,0.48320639,0.26665398,0.865,0.865,473.0,1.0,0.67166863
15501,0.70201363,0.48320639,0.23409492,0.865,0.865,488.0,1.0,0.72421877
16465,0.70201363,0.48320639,0.20440476,0.865,0.865,516.0,1.0,0.71587812
16662,0.70201363,0.48320639,0.20205659,0.865,0.865,521.0,1.0,0.71587812
16999,0.70201363,0.48320639,0.19740926,0.865,0.865,533.0,1.0,0.67166863
18115,0.70201363,0.48320639,0.18270921,0.865,0.865,562.0,1.0,0.67166863
20219,0.70201363,0.48320639,0.16882817,0.865,0.865,623.0,0.99950365,0.79453907
28180,0.70201363,0.48320639,0.15053793,0.865,0.865,867.0,0.99564453,0.75707448
28377,0.70201363,0.48320639,0.15043146,0.865,0.865,872.0,0.99579563,0.75707448
28562,0.70201363,0.48320639,0.15013702,0.865,0.865,877.0,0.99515838,0.75707448
29122,0.70201363,0.48320639,0.14983079,0.865,0.865,892.0,0.99483385,0.79453907
29989,0.72853773,0.48873417,0.14898643,0.865,0.865,918.0,0.99512958,0.79453907
30961,0.72853773,0.49820364,0.14881196,0.865,0.865,944.0,0.99490311,0.79453907
33135,0.72853773,0.52700747,0.14827449,0.865,0.865,1005.0,0.99494029,0.79453907
42800,0.72853773,0.55594082,0.14587152,0.865,0.865,1276.0,0.99012044,0.80714438
86376,0.76308787,0.64574189,0.13493984,0.865,0.865,2531.0,0.98860349,0.80127067
86562,0.76308787,0.64559502,0.12999236,0.865,0.865,2536.0,0.98860349,0.80127067
87359,0.76308787,0.64559502,0.11476298,0.865,0.865,2563.0,0.98817915,0.80127067
88205,0.76308787,0.64559502,0.10983816,0.865,0.865,2588.0,0.98798963,0.80127067
90866,0.76308787,0.64559502,0.10145622,0.865,0.865,2664.0,0.98721541,0.80127067
103713,0.76308787,0.64559502,0.08780579,0.865,0.865,3029.0,0.97788094,0.80127067
175018,0.80919135,0.66754429,0.07214542,0.865,0.865,5074.0,0.96435312,0.82760196
535174,0.80330274,0.74266857,0.06424616,0.865,0.865,15436.0,0.96435312,0.82760196
535384,0.80330274,0.74266857,0.059505,0.865,0.865,15443.0,0.96385438,0.82760196
536062,0.80330274,0.74266857,0.0459702,0.865,0.865,15462.0,0.96387364,0.82760196
537123,0.80330274,0.74266857,0.03739987,0.865,0.865,15491.0,0.96355761,0.82760196
538114,0.80330274,0.74266857,0.03544801,0.865,0.865,15517.0,0.96319082,0.82760196
545235,0.80330274,0.74266857,0.02746283,0.865,0.865,15724.0,0.9616292,0.82760196
581549,0.80330274,0.74266857,0.02105204,0.865,0.865,16756.0,0.94071514,0.82760196
785207,0.81371862,0.74877353,0.01418295,0.865,0.865,22519.0,0.89587252,0.82760196
1920812,0.82760198,0.79081571,0.00989568,0.865,0.865,54589.0,0.86424622,0.80714438
8657593,0.82760198,0.81132738,0.00787655,0.865,0.865,244960.0,0.86175303,0.80127067
10762337,0.82760198,0.81187849,0.0056721,0.865,0.865,304823.0,0.83976411,0.81524457
13022395,0.82760198,0.81187845,0.00361019,0.865,0.865,369294.0,0.83965992,0.82760196
26528151,0.82760198,0.81579061,0.00237813,0.865,0.865,754356.0,0.8369225,0.82760196
35221629,0.82760198,0.81844176,0.00201299,0.865,0.865,1000000.0,0.83494394,0.82760196
