Accumulated Samples,Performance,Estimated Performance,Average Distance,Lower Bound,Upper Bound,Episode,Estimated Optimistic Performance,Optimistic Performance
0,0.03769537,0.03769537,0.42661807,0.865,0.865,0.0,1.0,0.64036412
238,0.62905467,0.30892686,0.39804951,0.865,0.865,6.0,1.0,0.64036412
697,0.70201363,0.45241195,0.35634632,0.865,0.865,21.0,1.0,0.65327422
1409,0.70201363,0.53437437,0.32684399,0.865,0.865,43.0,1.0,0.73028821
1743,0.70201363,0.52985082,0.31842745,0.865,0.865,56.0,1.0,0.69648604
1927,0.70201363,0.52985082,0.30899504,0.865,0.865,62.0,1.0,0.73028821
2152,0.70201363,0.52985082,0.29259502,0.865,0.865,69.0,1.0,0.68787704
2822,0.70201363,0.52985082,0.27579022,0.865,0.865,90.0,1.0,0.73028821
3969,0.70201363,0.52985082,0.26271257,0.865,0.865,126.0,1.0,0.6699393
8399,0.75751209,0.55865489,0.25514004,0.865,0.865,252.0,1.0,0.77431772
8589,0.75751209,0.55865489,0.25436732,0.865,0.865,258.0,0.99988795,0.77431772
8799,0.75751209,0.55865489,0.24704721,0.865,0.865,265.0,0.99966842,0.73390336
9483,0.75751209,0.55865489,0.21256223,0.865,0.865,284.0,0.99975876,0.75707448
9693,0.75751209,0.55865489,0.19738462,0.865,0.865,290.0,0.99971955,0.71587812
9920,0.75751209,0.55865489,0.18614143,0.865,0.865,297.0,0.99958242,0.75707448
10136,0.75751209,0.55865489,0.17405905,0.865,0.865,304.0,0.99941289,0.71587812
10875,0.75751209,0.55865489,0.15946358,0.865,0.865,325.0,0.99847213,0.7203425
11362,0.75751209,0.55865489,0.15530004,0.865,0.865,340.0,0.9962651,0.75707448
15001,0.76308787,0.57053966,0.13771642,0.865,0.865,445.0,0.9879303,0.79453907
18820,0.78107596,0.61988008,0.13139747,0.865,0.865,556.0,0.98338965,0.78436869
19052,0.78107596,0.62092027,0.13078067,0.865,0.865,562.0,0.98338965,0.78436869
19894,0.78107596,0.62092027,0.12911542,0.865,0.865,586.0,0.98249263,0.80127067
22128,0.78107596,0.62092027,0.12569158,0.865,0.865,651.0,0.98186972,0.80957044
22379,0.78107596,0.62092027,0.09596811,0.865,0.865,658.0,0.98176489,0.80957044
23047,0.78107596,0.62617451,0.08881228,0.865,0.865,675.0,0.98244608,0.80957044
25221,0.78107596,0.63358139,0.0860282,0.865,0.865,735.0,0.98204287,0.82368909
37334,0.81371862,0.69447082,0.08035111,0.865,0.865,1072.0,0.97598302,0.82760196
37577,0.81371862,0.69483786,0.05230233,0.865,0.865,1079.0,0.97581017,0.82760196
37825,0.81371862,0.69425833,0.04745775,0.865,0.865,1089.0,0.97507489,0.82760196
38924,0.81371862,0.69605905,0.04337899,0.865,0.865,1119.0,0.97489205,0.81331567
41857,0.81371862,0.69738917,0.04022936,0.865,0.865,1202.0,0.97206411,0.81331567
56000,0.81371862,0.69992644,0.0335457,0.865,0.865,1609.0,0.94351908,0.7879324
162868,0.82760198,0.75080113,0.02413223,0.865,0.865,4681.0,0.93643343,0.8116602
164167,0.82760198,0.74974326,0.02370969,0.865,0.865,4721.0,0.93505601,0.8116602
275390,0.82760198,0.76903024,0.01673095,0.865,0.865,7879.0,0.88467753,0.82760196
985035,0.81371862,0.78965278,0.01242501,0.865,0.865,28052.0,0.87231372,0.81524457
1146388,0.82760198,0.79893508,0.01184238,0.865,0.865,32596.0,0.86506304,0.81524457
5445483,0.82760198,0.80883768,0.00482886,0.865,0.865,155367.0,0.84555759,0.82760196
32043113,0.82760198,0.81074704,0.00373128,0.865,0.865,914214.0,0.84262633,0.82760198
34935444,0.82760198,0.81843189,0.00237028,0.865,0.865,995889.0,0.83626886,0.82760198
35081141,0.82760198,0.81860183,0.0023575,0.865,0.865,1000000.0,0.83616125,0.82760198
