Accumulated Samples,Performance,Estimated Performance,Average Distance,Lower Bound,Upper Bound,Episode,Estimated Optimistic Performance,Optimistic Performance
0,0.79921054,0.0,0.5391576,1.0E-8,0.5187146827017839,0.0,1.0,0.80571623
245,0.79619909,0.0,0.53882912,1.0E-8,0.482183129330361,10.0,1.0,0.80682562
862,0.79700317,0.0,0.53796418,1.0E-8,0.45955467398631605,35.0,1.0,0.80677285
1734,0.806819,0.0,0.53663011,1.0E-8,0.40852436879331633,70.0,1.0,0.80985756
3003,0.80425804,1.5E-7,0.53501739,1.0E-8,0.3798356183495952,121.0,1.0,0.80666925
3252,0.80514564,2.3E-7,0.53468736,1.0E-8,0.3798356183495952,131.0,1.0,0.80756033
4047,0.80444583,5.8E-7,0.53373975,1.0E-8,0.3798356183495952,163.0,1.0,0.80910477
4642,0.80444583,1.13E-6,0.53317279,1.0E-8,0.3663380005871917,187.0,1.0,0.81280937
5091,0.80444583,2.29E-6,0.53278429,1.0E-8,0.35772543375373844,205.0,1.0,0.82297711
5658,0.79972199,4.9E-6,0.53223216,1.0E-8,0.3405307891064939,228.0,1.0,0.82125431
6791,0.79937141,1.098E-5,0.53119587,0.004752857046211534,0.3239184716251171,274.0,1.0,0.81283256
7539,0.79937141,1.687E-5,0.53058622,0.003096186006553675,0.3070303962719273,304.0,1.0,0.81809661
9249,0.79911754,4.443E-5,0.5294699,0.020533657675327277,0.2963494592077896,373.0,1.0,0.81944879
9824,0.79908748,5.779E-5,0.52910264,0.020389375491383477,0.28843415392038124,396.0,1.0,0.81811049
15693,0.80232135,5.5941E-4,0.52647706,0.032523194837289646,0.24611457606054316,634.0,1.0,0.82075225
17866,0.80827039,9.6352E-4,0.52564785,0.03463262740362465,0.2351221409887459,722.0,1.0,0.82083738
18480,0.80827039,0.00102944,0.52536546,0.03711170974020003,0.23429803993041923,747.0,1.0,0.82584666
21153,0.81169973,0.00151108,0.52435132,0.04380815058300867,0.2283948482635888,855.0,1.0,0.82476247
22120,0.8161793,0.0016843,0.52395505,0.04325567304857035,0.22385249472184904,894.0,1.0,0.82432377
22708,0.8161793,0.00171627,0.52370793,0.044200112097717056,0.2224665545689496,918.0,1.0,0.82192574
23580,0.81833367,0.00233013,0.52340807,0.04616669560035927,0.22119081735300858,953.0,1.0,0.82607358
24837,0.81907113,0.00282178,0.52298636,0.047573417219931025,0.218174614276132,1004.0,1.0,0.82961616
26631,0.81760814,0.00364196,0.52242007,0.055332839502212156,0.2201492541616997,1077.0,1.0,0.82790419
29178,0.81753783,0.00456499,0.5216823,0.0655092901045782,0.22308131392226746,1180.0,1.0,0.82967949
30214,0.81819686,0.00489702,0.52136383,0.06356462338581725,0.21844510108744042,1222.0,1.0,0.82245896
32797,0.81716088,0.00581107,0.52067016,0.06761926988141874,0.2163867091918249,1326.0,1.0,0.82380539
34156,0.81723995,0.00651988,0.52031801,0.06636086124617044,0.21217467357077144,1381.0,1.0,0.8223764
36459,0.82153342,0.00791942,0.51970101,0.07273970311180199,0.21393593618833256,1474.0,1.0,0.82357409
37890,0.82153342,0.00848686,0.51928291,0.07581306490155991,0.21434237551294782,1532.0,1.0,0.82638053
39369,0.82265073,0.00946536,0.5189126,0.07854697269544214,0.21447048366366012,1592.0,1.0,0.8257827
40335,0.82190678,0.00989914,0.51860793,0.07952962199635097,0.2138361722824074,1631.0,1.0,0.82259229
42331,0.82229451,0.01097709,0.51805336,0.08292953495000488,0.21405422375069116,1712.0,1.0,0.82525031
44798,0.82229451,0.01235958,0.51743133,0.08428045624041795,0.21177217533852938,1812.0,1.0,0.82424969
46288,0.82229451,0.01300893,0.51700094,0.0848325264263226,0.21028424639745658,1872.0,1.0,0.82298782
47231,0.82229451,0.01315934,0.51658957,0.08513782107480522,0.20934709047566302,1910.0,1.0,0.82278873
51169,0.82199671,0.01474856,0.51532886,0.0897553574891001,0.20913940464448952,2069.0,1.0,0.77964347
52925,0.82199671,0.01525888,0.51471841,0.09046171635668555,0.20786542118978285,2140.0,1.0,0.78042952
56211,0.82199671,0.01646937,0.51380358,0.09138640088027197,0.20533132340856827,2273.0,1.0,0.72898412
57391,0.82177481,0.01706295,0.51346447,0.09320795078089011,0.2059776471616731,2321.0,1.0,0.70950452
58175,0.82273684,0.01733583,0.51317623,0.09241131735938068,0.20441743528332545,2353.0,1.0,0.70326989
