Accumulated Samples,Performance,Estimated Performance,Average Distance,Lower Bound,Upper Bound,Episode,Estimated Optimistic Performance,Optimistic Performance
0,0.9117779,0.0,0.55052734,1.0E-8,0.99999999,0.0,0.99999995,0.9117779
40,0.9117779,0.0,0.55052734,1.0E-8,0.99999999,1.0,0.99999995,0.9117779
97,0.9117779,0.0,0.5504022,1.0E-8,0.99999999,2.0,1.0,0.9117779
198,0.9117779,0.0,0.54993602,1.0E-8,0.9879701621529411,3.0,0.99999999,0.9117779
299,0.9117779,0.0,0.54953311,1.0E-8,0.9555496245284458,4.0,1.0,0.9117779
331,0.9117779,0.0,0.54934905,1.0E-8,0.9691426997511922,5.0,0.99999976,0.9117779
349,0.9117779,0.0,0.54933217,1.0E-8,0.9396825700614919,6.0,1.0,0.9117779
450,0.9117779,0.0,0.54894561,1.0E-8,0.9123512613302811,7.0,0.99999969,0.9117779
486,0.9117779,0.0,0.5490512,1.0E-8,0.9253781921785789,8.0,0.99999982,0.9117779
587,0.9117779,0.0,0.54850845,0.02570914417470782,0.9372538187882551,9.0,0.99999996,0.9117779
669,0.9117779,0.0,0.54828416,0.01617396184858305,0.9123974667228456,10.0,0.99999999,0.9117779
770,0.9117779,0.0,0.54792452,0.007450965218925409,0.8891007589190056,11.0,1.0,0.9117779
786,0.9117779,0.0,0.54782879,1.0E-8,0.8672156719405408,12.0,1.0,0.9117779
835,0.9117779,0.0,0.54773415,1.0E-8,0.8466126304597644,13.0,1.0,0.9117779
923,0.9117779,0.0,0.54713612,0.01657230325470027,0.8584276967452997,14.0,0.99999998,0.9117779
1024,0.9117779,0.0,0.54665691,0.00937155689182656,0.839113291593022,15.0,1.0,0.9117779
1125,0.9117779,0.0,0.54635201,0.0026965140607073113,0.8208328977039985,16.0,1.0,0.9117779
1148,0.9117779,0.0,0.54625644,1.0E-8,0.803502378845873,17.0,1.0,0.9117779
1249,0.9117779,0.0,0.54581483,1.0E-8,0.7870466293890812,18.0,0.99999985,0.9117779
1327,0.9117779,0.0,0.54546949,1.0E-8,0.7713983843990906,19.0,0.99999995,0.9117779
1358,0.9117779,0.0,0.54511093,0.006660680760344151,0.7828130034501821,20.0,1.0,0.9117779
1394,0.9117779,0.0,0.54477165,0.026942099941872355,0.7935707205709481,21.0,1.0,0.9117779
1438,0.9117779,0.0,0.5445099,0.021276445833906865,0.7787235541660932,22.0,1.0,0.9117779
1539,0.9117779,0.0,0.54398491,0.04034025981339556,0.7889280328695312,23.0,1.0,0.9117779
1640,0.9117779,0.0,0.54336681,0.058555326951011843,0.7985875301918453,24.0,1.0,0.9117779
