Accumulated Samples,Performance,Estimated Performance,Average Distance,Lower Bound,Upper Bound,Episode,Estimated Optimistic Performance,Optimistic Performance
0,0.17181239,1.0,0.2070554,0.1,0.1,0.0,1.0,0.17181239
56,0.17181239,0.99999982,0.19452941,0.1,0.1,2.0,0.99999982,0.17181239
131,0.17181239,0.99999648,0.14303951,0.1,0.1,6.0,0.99999648,0.17181239
223,0.17181239,0.99999468,0.09087631,0.1,0.1,9.0,0.99999468,0.17181239
348,0.17181239,0.99935655,0.09915891,0.1,0.1,16.0,0.99935655,0.17181239
466,0.17181239,0.88840816,0.08424797,0.1,0.1,22.0,0.88840816,0.17181239
521,0.17181239,0.85170836,0.07642486,0.1,0.1,24.0,0.85170836,0.17181239
615,0.17181239,0.67342928,0.07175566,0.1,0.1,29.0,0.67342928,0.17181239
898,0.17181239,0.59563941,0.06159553,0.1,0.1,39.0,0.59563941,0.17181239
1047,0.17181239,0.51602934,0.05513977,0.1,0.1,46.0,0.51602934,0.17181239
1576,0.17181239,0.40978904,0.04574225,0.1,0.1,69.0,0.40978904,0.17181239
1734,0.17181239,0.40028984,0.04290484,0.1,0.1,76.0,0.40028984,0.17181239
2715,0.17181239,0.33218977,0.03638248,0.1,0.1,118.0,0.33218977,0.17181239
3348,0.17181239,0.34194031,0.03155243,0.1,0.1,150.0,0.34194031,0.17181239
4835,0.17181239,0.30916916,0.0264518,0.1,0.1,224.0,0.30916916,0.17181239
5096,0.17181239,0.30315809,0.02453954,0.1,0.1,234.0,0.30315809,0.17181239
5189,0.17181239,0.29800697,0.02409276,0.1,0.1,238.0,0.29800697,0.17181239
6087,0.17181239,0.28822308,0.02308661,0.1,0.1,282.0,0.28822308,0.17181239
7074,0.17181239,0.28293165,0.0227404,0.1,0.1,331.0,0.28293165,0.17181239
7371,0.17181239,0.28363013,0.02215148,0.1,0.1,344.0,0.28363013,0.17181239
9891,0.17181239,0.25992481,0.01844561,0.1,0.1,459.0,0.25992481,0.17181239
11174,0.17181239,0.25621202,0.01812036,0.1,0.1,522.0,0.25621202,0.17181239
11654,0.17181239,0.25386808,0.01795415,0.1,0.1,544.0,0.25386808,0.17181239
13588,0.17181239,0.24843138,0.01601297,0.1,0.1,631.0,0.24843138,0.17181239
14400,0.17181239,0.24597542,0.01496441,0.1,0.1,666.0,0.24597542,0.17181239
16873,0.17181239,0.23716391,0.01305946,0.1,0.1,779.0,0.23716391,0.17181239
22376,0.17181239,0.2372137,0.01289065,0.1,0.1,1029.0,0.2372137,0.17181239
24369,0.17181239,0.22993,0.01230097,0.1,0.1,1114.0,0.22993,0.17181239
29831,0.17181239,0.22700227,0.01103975,0.1,0.1,1369.0,0.22700227,0.17181239
33637,0.17181239,0.22284137,0.01054606,0.1,0.1,1538.0,0.22284137,0.17181239
34767,0.17181239,0.22184917,0.01003393,0.1,0.1,1593.0,0.22184917,0.17181239
46769,0.17181239,0.21646023,0.00878941,0.1,0.1,2145.0,0.21646023,0.17181239
50499,0.17181239,0.21648399,0.00875349,0.1,0.1,2315.0,0.21648399,0.17181239
61988,0.17181239,0.20823714,0.00753242,0.1,0.1,2826.0,0.20823714,0.17181239
68474,0.17181239,0.20400942,0.00678526,0.1,0.1,3123.0,0.20400942,0.17181239
93604,0.17181239,0.19606079,0.00582489,0.1,0.1,4272.0,0.19606079,0.17181239
146092,0.17181239,0.19181713,0.00492781,0.1,0.1,6686.0,0.19181713,0.17181239
244815,0.17181239,0.18607451,0.00426745,0.1,0.1,11205.0,0.18607451,0.17181239
526546,0.17181239,0.18313635,0.00252905,0.1,0.1,23986.0,0.18313635,0.17181239
2001237,0.17181239,0.17688593,0.0012491,0.1,0.1,90959.0,0.17688593,0.17181239
7940830,0.17181239,0.17419482,7.1549E-4,0.1,0.1,361067.0,0.17419482,0.17181239
21986619,0.17181239,0.17334874,4.2043E-4,0.1,0.1,1000000.0,0.17334874,0.17181239
