Accumulated Samples,Performance,Estimated Performance,Average Distance,Lower Bound,Upper Bound,Episode,Estimated Optimistic Performance,Optimistic Performance
0,0.03769537,0.03769537,0.42661807,0.865,0.865,0.0,1.0,0.64036412
81,0.03769537,0.03769537,0.42661807,0.865,0.865,5.0,1.0,0.64036412
285,0.11083128,0.04788692,0.4152799,0.865,0.865,15.0,1.0,0.64036412
1138,0.62905467,0.28543225,0.39881161,0.865,0.865,59.0,1.0,0.64036412
4187,0.70201363,0.39186882,0.3956164,0.865,0.865,225.0,1.0,0.66564322
15263,0.70201363,0.50738535,0.39277662,0.865,0.865,825.0,1.0,0.66564322
15356,0.70201363,0.50738535,0.39277662,0.865,0.865,830.0,1.0,0.66564322
15569,0.70201363,0.50738535,0.38005932,0.865,0.865,841.0,1.0,0.66564322
16643,0.70201363,0.50738535,0.36470974,0.865,0.865,895.0,1.0,0.66564322
22901,0.70201363,0.50738535,0.35851824,0.865,0.865,1226.0,0.99726499,0.68787704
47781,0.74563002,0.62878887,0.35532115,0.865,0.865,2515.0,0.98641277,0.68787704
47881,0.74563002,0.63003584,0.35533925,0.865,0.865,2520.0,0.98649747,0.68787704
48092,0.74563002,0.62982728,0.3423823,0.865,0.865,2531.0,0.98638465,0.68787704
48722,0.74563002,0.63089743,0.33006442,0.865,0.865,2563.0,0.98623125,0.68787704
52770,0.74563002,0.63615952,0.32172505,0.865,0.865,2781.0,0.98519982,0.7118952
72635,0.74563002,0.673821,0.31697692,0.865,0.865,3801.0,0.98411484,0.7118952
72732,0.74563002,0.67392149,0.3169753,0.865,0.865,3806.0,0.98410661,0.7118952
72987,0.74563002,0.67506813,0.29873232,0.865,0.865,3819.0,0.98418334,0.7118952
73261,0.74563002,0.67357736,0.2949379,0.865,0.865,3834.0,0.98396464,0.7118952
75867,0.74563002,0.67371371,0.28331131,0.865,0.865,3970.0,0.98348793,0.7118952
91581,0.74563002,0.68456048,0.27830525,0.865,0.865,4782.0,0.97456074,0.73279891
184382,0.74563002,0.69202833,0.27490699,0.865,0.865,9587.0,0.97372085,0.72746623
184479,0.74563002,0.69169387,0.27489198,0.865,0.865,9592.0,0.97372085,0.72746623
184771,0.74563002,0.69169387,0.25814479,0.865,0.865,9606.0,0.97414353,0.72746623
186556,0.74563002,0.69169387,0.24002423,0.865,0.865,9696.0,0.97257654,0.72746623
192286,0.74563002,0.69169387,0.23856955,0.865,0.865,10000.0,0.96826974,0.72746623
224212,0.74563002,0.69169387,0.23123734,0.865,0.865,11642.0,0.95868914,0.75512527
419358,0.77074604,0.70935784,0.22639642,0.865,0.865,21772.0,0.95868914,0.75512527
419463,0.77074604,0.7093624,0.22640214,0.865,0.865,21777.0,0.95865115,0.75512527
419578,0.77074604,0.70934893,0.21939275,0.865,0.865,21783.0,0.95866739,0.75512527
420383,0.77074604,0.70945039,0.19874626,0.865,0.865,21823.0,0.95879812,0.75512527
425516,0.77074604,0.7095765,0.1902018,0.865,0.865,22086.0,0.95791642,0.75512527
448094,0.77074604,0.70981956,0.18671847,0.865,0.865,23237.0,0.95332978,0.77431772
575689,0.78107596,0.71452881,0.18348276,0.865,0.865,29789.0,0.93988894,0.77431772
575794,0.78107596,0.7145325,0.18347989,0.865,0.865,29794.0,0.93989771,0.77431772
576169,0.78107596,0.7144581,0.16279587,0.865,0.865,29812.0,0.93991135,0.77431772
577177,0.78107596,0.71298764,0.15358097,0.865,0.865,29864.0,0.93960959,0.77431772
585049,0.78107596,0.71665544,0.14668624,0.865,0.865,30266.0,0.939729,0.79453907
630929,0.78107596,0.71815111,0.14206233,0.865,0.865,32650.0,0.93693726,0.79453907
631034,0.78107596,0.718298,0.14205674,0.865,0.865,32655.0,0.93696166,0.79453907
631412,0.78107596,0.7183607,0.11996944,0.865,0.865,32673.0,0.93696007,0.79453907
632124,0.78107596,0.71846364,0.11217431,0.865,0.865,32709.0,0.93687551,0.79453907
636476,0.78107596,0.71865199,0.10388934,0.865,0.865,32932.0,0.93665981,0.79453907
656294,0.78107596,0.72111411,0.10125036,0.865,0.865,33951.0,0.93329376,0.8116602
781134,0.7990212,0.73405307,0.09841988,0.865,0.865,40305.0,0.92708402,0.80957044
781246,0.7990212,0.73383249,0.09842298,0.865,0.865,40311.0,0.92709746,0.80957044
781594,0.7990212,0.73387554,0.07960643,0.865,0.865,40328.0,0.92703229,0.80957044
783181,0.7990212,0.73380893,0.06345294,0.865,0.865,40410.0,0.92683641,0.80957044
787761,0.7990212,0.7339428,0.06000822,0.865,0.865,40643.0,0.92628739,0.8116602
819569,0.78107596,0.73663981,0.05603784,0.865,0.865,42274.0,0.9263355,0.82760196
